Labels,1e lifetime,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,49.987793,
Step,0.012207031,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

5.8837891,3.37400000E+3,
5.8959961,3.37800000E+3,
5.9082031,3.34300000E+3,
5.920410,3.32300000E+3,
5.9326172,3.29100000E+3,
5.9448242,3.16000000E+3,
5.9570313,3.33800000E+3,
5.9692383,3.35600000E+3,
5.9814453,3.18700000E+3,
5.9936523,3.26600000E+3,
6.0058594,3.22100000E+3,
6.0180664,3.25400000E+3,
6.0302734,3.27900000E+3,
6.042480,3.32700000E+3,
6.0546875,3.36500000E+3,
6.0668945,3.25000000E+3,
6.0791016,3.33000000E+3,
6.0913086,3.35500000E+3,
6.1035156,3.31800000E+3,
6.1157227,3.27900000E+3,
6.127930,3.44100000E+3,
6.1401367,3.47700000E+3,
6.1523438,3.53300000E+3,
6.1645508,3.31800000E+3,
6.1767578,3.48100000E+3,
6.1889648,3.44500000E+3,
6.2011719,3.46500000E+3,
6.2133789,3.33700000E+3,
6.2255859,3.29500000E+3,
6.2377930,3.49200000E+3,
6.250,3.39200000E+3,
6.2622070,3.23200000E+3,
6.2744141,3.25500000E+3,
6.2866211,3.25800000E+3,
6.2988281,3.27200000E+3,
6.3110352,3.34100000E+3,
6.3232422,3.18300000E+3,
6.3354492,3.25800000E+3,
6.3476563,3.24500000E+3,
6.3598633,3.26500000E+3,
6.372070,3.26300000E+3,
6.3842773,3.24800000E+3,
6.3964844,3.15400000E+3,
6.4086914,3.27300000E+3,
6.4208984,3.27600000E+3,
6.4331055,3.24100000E+3,
6.4453125,3.35100000E+3,
6.457520,3.28600000E+3,
6.4697266,3.20100000E+3,
6.4819336,3.23900000E+3,
6.4941406,3.13800000E+3,
6.5063477,3.17700000E+3,
6.5185547,3.23100000E+3,
6.5307617,3.19500000E+3,
6.5429688,3.18400000E+3,
6.5551758,3.18600000E+3,
6.5673828,3.24700000E+3,
6.579590,3.14400000E+3,
6.5917969,3.11200000E+3,
6.6040039,3.21200000E+3,
6.6162109,3.20900000E+3,
6.6284180,3.08800000E+3,
6.6406250,3.19800000E+3,
6.6528320,3.23800000E+3,
6.6650391,3.22200000E+3,
6.6772461,3.13700000E+3,
6.6894531,3.16900000E+3,
6.701660,3.13800000E+3,
6.7138672,3.22700000E+3,
6.7260742,3.06600000E+3,
6.7382813,3.15200000E+3,
6.7504883,3.08800000E+3,
6.7626953,3.06100000E+3,
6.7749023,3.05300000E+3,
6.7871094,2.99700000E+3,
6.7993164,3.07200000E+3,
6.8115234,3.08700000E+3,
6.823730,3.08600000E+3,
6.8359375,3.11200000E+3,
6.8481445,3.03500000E+3,
6.8603516,3.01200000E+3,
6.8725586,3.07500000E+3,
6.8847656,3.00000000E+3,
6.8969727,2.94800000E+3,
6.909180,2.94400000E+3,
6.9213867,2.86800000E+3,
6.9335938,3.03500000E+3,
6.9458008,2.98100000E+3,
6.9580078,2.88600000E+3,
6.9702148,2.88400000E+3,
6.9824219,2.94400000E+3,
6.9946289,2.83100000E+3,
7.0068359,2.95400000E+3,
7.0190430,2.86200000E+3,
7.031250,3.02500000E+3,
7.0434570,2.85600000E+3,
7.0556641,3.00500000E+3,
7.0678711,2.82800000E+3,
7.0800781,2.83500000E+3,
7.0922852,2.87100000E+3,
7.1044922,2.83300000E+3,
7.1166992,2.86600000E+3,
7.1289063,2.88900000E+3,
7.1411133,2.83000000E+3,
7.153320,2.80700000E+3,
7.1655273,2.89200000E+3,
7.1777344,2.85100000E+3,
7.1899414,2.93200000E+3,
7.2021484,2.86900000E+3,
7.2143555,2.81900000E+3,
7.2265625,2.76600000E+3,
7.238770,2.82100000E+3,
7.2509766,2.75800000E+3,
7.2631836,2.76500000E+3,
7.2753906,2.86300000E+3,
7.2875977,2.85600000E+3,
7.2998047,2.80700000E+3,
7.3120117,2.76200000E+3,
7.3242188,2.83900000E+3,
7.3364258,2.78900000E+3,
7.3486328,2.85900000E+3,
7.360840,2.72000000E+3,
7.3730469,2.74500000E+3,
7.3852539,2.86700000E+3,
7.3974609,2.80000000E+3,
7.4096680,2.82700000E+3,
7.4218750,2.93300000E+3,
7.4340820,2.83400000E+3,
7.4462891,2.67700000E+3,
7.4584961,2.75800000E+3,
7.4707031,2.81200000E+3,
7.482910,2.69100000E+3,
7.4951172,2.69900000E+3,
7.5073242,2.71700000E+3,
7.5195313,2.76100000E+3,
7.5317383,2.68900000E+3,
7.5439453,2.73500000E+3,
7.5561523,2.76600000E+3,
7.5683594,2.62500000E+3,
7.5805664,2.60800000E+3,
7.5927734,2.73600000E+3,
7.604980,2.69400000E+3,
7.6171875,2.66700000E+3,
7.6293945,2.73100000E+3,
7.6416016,2.62500000E+3,
7.6538086,2.66500000E+3,
7.6660156,2.60100000E+3,
7.6782227,2.63800000E+3,
7.690430,2.70800000E+3,
7.7026367,2.61800000E+3,
7.7148438,2.63200000E+3,
7.7270508,2.59000000E+3,
7.7392578,2.58200000E+3,
7.7514648,2.61200000E+3,
7.7636719,2.62200000E+3,
7.7758789,2.56100000E+3,
7.7880859,2.69800000E+3,
7.8002930,2.58400000E+3,
7.81250,2.55700000E+3,
7.8247070,2.60000000E+3,
7.8369141,2.53900000E+3,
7.8491211,2.57100000E+3,
7.8613281,2.60600000E+3,
7.8735352,2.54400000E+3,
7.8857422,2.59300000E+3,
7.8979492,2.62000000E+3,
7.9101563,2.57500000E+3,
7.9223633,2.51400000E+3,
7.934570,2.52200000E+3,
7.9467773,2.51700000E+3,
7.9589844,2.53500000E+3,
7.9711914,2.53500000E+3,
7.9833984,2.55300000E+3,
7.9956055,2.56600000E+3,
8.0078125,2.51000000E+3,
8.020020,2.59300000E+3,
8.0322266,2.41100000E+3,
8.0444336,2.54500000E+3,
8.0566406,2.49400000E+3,
8.0688477,2.55100000E+3,
8.0810547,2.51400000E+3,
8.0932617,2.55200000E+3,
8.1054688,2.45000000E+3,
8.1176758,2.45300000E+3,
8.1298828,2.47000000E+3,
8.142090,2.40100000E+3,
8.1542969,2.39000000E+3,
8.1665039,2.38500000E+3,
8.1787109,2.39900000E+3,
8.1909180,2.31100000E+3,
8.2031250,2.42100000E+3,
8.2153320,2.44600000E+3,
8.2275391,2.42600000E+3,
8.2397461,2.37500000E+3,
8.2519531,2.35300000E+3,
8.264160,2.32900000E+3,
8.2763672,2.45400000E+3,
8.2885742,2.38700000E+3,
8.3007813,2.31600000E+3,
8.3129883,2.35900000E+3,
8.3251953,2.36500000E+3,
8.3374023,2.37700000E+3,
8.3496094,2.29800000E+3,
8.3618164,2.23500000E+3,
8.3740234,2.33500000E+3,
8.386230,2.34200000E+3,
8.3984375,2.23700000E+3,
8.4106445,2.36500000E+3,
8.4228516,2.29800000E+3,
8.4350586,2.23600000E+3,
8.4472656,2.31300000E+3,
8.4594727,2.36400000E+3,
8.471680,2.29400000E+3,
8.4838867,2.29100000E+3,
8.4960938,2.25600000E+3,
8.5083008,2.23500000E+3,
8.5205078,2.27100000E+3,
8.5327148,2.22600000E+3,
8.5449219,2.26600000E+3,
8.5571289,2.29200000E+3,
8.5693359,2.25400000E+3,
8.5815430,2.27400000E+3,
8.593750,2.19500000E+3,
8.6059570,2.29000000E+3,
8.6181641,2.20500000E+3,
8.6303711,2.29300000E+3,
8.6425781,2.25400000E+3,
8.6547852,2.22000000E+3,
8.6669922,2.18700000E+3,
8.6791992,2.18200000E+3,
8.6914063,2.29700000E+3,
8.7036133,2.18400000E+3,
8.715820,2.23300000E+3,
8.7280273,2.17100000E+3,
8.7402344,2.22300000E+3,
8.7524414,2.20400000E+3,
8.7646484,2.22000000E+3,
8.7768555,2.17500000E+3,
8.7890625,2.16000000E+3,
8.801270,2.11900000E+3,
8.8134766,2.13700000E+3,
8.8256836,2.09900000E+3,
8.8378906,2.26600000E+3,
8.8500977,2.25800000E+3,
8.8623047,2.07900000E+3,
8.8745117,2.18800000E+3,
8.8867188,2.11300000E+3,
8.8989258,2.11700000E+3,
8.9111328,2.18300000E+3,
8.923340,2.05900000E+3,
8.9355469,2.10300000E+3,
8.9477539,2.12500000E+3,
8.9599609,2.12200000E+3,
8.9721680,2.12300000E+3,
8.9843750,2.10900000E+3,
8.9965820,2.05000000E+3,
9.0087891,2.06800000E+3,
9.0209961,2.13300000E+3,
9.0332031,2.04500000E+3,
9.045410,2.11200000E+3,
9.0576172,2.02000000E+3,
9.0698242,2.05800000E+3,
9.0820313,2.03300000E+3,
9.0942383,1.99800000E+3,
9.1064453,2.06100000E+3,
9.1186523,2.06100000E+3,
9.1308594,2.02300000E+3,
9.1430664,2.02300000E+3,
9.1552734,2.00900000E+3,
9.167480,1.95200000E+3,
9.1796875,2.00500000E+3,
9.1918945,1.95300000E+3,
9.2041016,1.95000000E+3,
9.2163086,1.92900000E+3,
9.2285156,2.09000000E+3,
9.2407227,2.03600000E+3,
9.252930,2.05400000E+3,
9.2651367,2.00400000E+3,
9.2773438,2.06200000E+3,
9.2895508,2.01300000E+3,
9.3017578,2.01900000E+3,
9.3139648,2.00300000E+3,
9.3261719,1.99500000E+3,
9.3383789,1.95600000E+3,
9.3505859,1.97100000E+3,
9.3627930,2.01600000E+3,
9.3750,2.03200000E+3,
9.3872070,2.05600000E+3,
9.3994141,1.99600000E+3,
9.4116211,1.95800000E+3,
9.4238281,1.90400000E+3,
9.4360352,1.83800000E+3,
9.4482422,1.86400000E+3,
9.4604492,2.01600000E+3,
9.4726563,1.88900000E+3,
9.4848633,1.98000000E+3,
9.497070,1.97200000E+3,
9.5092773,1.91900000E+3,
9.5214844,1.89100000E+3,
9.5336914,1.95600000E+3,
9.5458984,1.84700000E+3,
9.5581055,1.92300000E+3,
9.5703125,1.89800000E+3,
9.582520,1.86500000E+3,
9.5947266,1.83900000E+3,
9.6069336,1.92200000E+3,
9.6191406,1.82900000E+3,
9.6313477,1.88600000E+3,
9.6435547,1.84900000E+3,
9.6557617,1.90700000E+3,
9.6679688,1.82200000E+3,
9.6801758,1.85000000E+3,
9.6923828,1.87800000E+3,
9.704590,1.84800000E+3,
9.7167969,1.89200000E+3,
9.7290039,1.81200000E+3,
9.7412109,1.76300000E+3,
9.7534180,1.82600000E+3,
9.7656250,1.83400000E+3,
9.7778320,1.84100000E+3,
9.7900391,1.84000000E+3,
9.8022461,1.78300000E+3,
9.8144531,1.79700000E+3,
9.826660,1.80600000E+3,
9.8388672,1.81400000E+3,
9.8510742,1.79100000E+3,
9.8632813,1.75600000E+3,
9.8754883,1.83900000E+3,
9.8876953,1.83500000E+3,
9.8999023,1.78200000E+3,
9.9121094,1.80300000E+3,
9.9243164,1.70500000E+3,
9.9365234,1.78200000E+3,
9.948730,1.70900000E+3,
9.9609375,1.66900000E+3,
9.9731445,1.74400000E+3,
9.9853516,1.74700000E+3,
9.9975586,1.70500000E+3,
10.009766,1.73500000E+3,
10.021973,1.69100000E+3,
10.034180,1.70300000E+3,
10.046387,1.71500000E+3,
10.058594,1.74700000E+3,
10.07080,1.71500000E+3,
10.083008,1.68700000E+3,
10.095215,1.72100000E+3,
10.107422,1.68200000E+3,
10.119629,1.65900000E+3,
10.131836,1.64500000E+3,
10.144043,1.67600000E+3,
10.156250,1.65700000E+3,
10.168457,1.65000000E+3,
10.180664,1.68700000E+3,
10.192871,1.65600000E+3,
10.205078,1.69200000E+3,
10.217285,1.64800000E+3,
10.229492,1.61500000E+3,
10.24170,1.65000000E+3,
10.253906,1.64900000E+3,
10.266113,1.60500000E+3,
10.278320,1.66800000E+3,
10.290527,1.65300000E+3,
10.302734,1.66400000E+3,
10.314941,1.70900000E+3,
10.327148,1.60200000E+3,
10.339355,1.65900000E+3,
10.351563,1.62300000E+3,
10.363770,1.65200000E+3,
10.375977,1.56300000E+3,
10.388184,1.65500000E+3,
10.400391,1.69100000E+3,
10.41260,1.69000000E+3,
10.42480,1.61100000E+3,
10.437012,1.63600000E+3,
10.449219,1.64900000E+3,
10.461426,1.63000000E+3,
10.473633,1.61600000E+3,
10.485840,1.58600000E+3,
10.498047,1.56600000E+3,
10.510254,1.57200000E+3,
10.522461,1.54800000E+3,
10.534668,1.59300000E+3,
10.546875,1.56500000E+3,
10.559082,1.52200000E+3,
